CCANT;CANTON;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
118;Curridabat;4926,32133;5577,30348;5799,86148;6747,32268;7240,76556;7963,92009;7520,71173;7200,54615;9258;12833;15809;18723;19995,35576;18760,5014;22553,46142;24036,17698;22366,96931;19854,49301;20091,70206;25323;26745;28855;34375,363;24178,578;18260,704;22721,164;34823,255;42031,373;39740,596;33211,532;35225,258;29556,944
201;Alajuela;17703,05817;19078,46661;19023,78093;21872,52333;25710,85398;30783,26874;34164,08373;40568,19018;36696;43965;47061;61686;67184,0583;51179,28377;49781,14945;48935,97297;49851,8988;49729,16061;48832,79021;54835;48747;54202;55652,112;56656,83616;55937,598;72778,7643;73865,412;81655,7114;89968,716;89981,903;95619,843;76737,724
205;Atenas;1171,44993;1215,80256;1239,966;1443,60657;1866,3078;2367,69918;2705,51043;3118,67346;3423;3917;4176;4350;4764,531406;5056,750064;5124,160679;5261,207732;5001,740458;5239,585459;5490,785393;2496;8436;6585;6512,926;8104,254;4128,283;10045,526;9343,299;10258,409;10444,329;10826,349;11011,301;8881,393
208;Poás;777,84021;823,30563;890,232;1058,26329;1238,53527;1442,49378;1628,80662;1856,29269;2026;2284;2424;2095;2844,600772;3104,545007;3194,531819;3260,034587;3207,250803;3147,153604;3427,289226;3601;3873;3890;4101,649;2129,916;1593,813;3338,388;5512,23;5908,515;6204,272;6221,522;6614,239;5305,461
301;Cartago;nd;11100,8751;12212,55231;3130,27827;19955,5041;24810,76584;30487,2666;32469,94044;27951;33875;37234;34893;34456,84057;36518,74686;36339,88615;35737,80124;29652,40335;28114,5192;31381,23125;34274;34327;37545;29391,23;28100,3961;17514,26;32124,22155;44903,192;47097,469;47346,487;47428,365;48061,754;37802,888
302;Paraíso;nd;1536,76299;1708,13265;2105,08074;2538,90987;3231,38319;3257,77221;3790,16274;7820;6805;8037;8352;7948,729051;8057,635351;7614,060784;8130,292547;7980,526511;7741,886573;7557,302318;7646;8406;8530;8793,876;7624,506;2989,99;6294,489;10288,645;11289,775;12511,517;12552,171;12819,129;11901,206
303;La Unión;nd;2524,60257;2882,28507;3616,72647;4656,2313;5464,75272;5456,16834;5098,32687;4998;5531;8729;16204;13482,12304;9116,331782;9981,381681;10795,07868;11106,21683;13612,33364;14884,07305;13269;15699;14976;10953,211;12589,116;26173,696;28251,889;13262,689;6855,987;6926,85;13981,353;14898,475;10569,02
306;Alvarado;nd;650,98215;681,34542;802,48056;1015,97727;1335,18903;1451,23713;1429,45824;1407;1629;1662;1599;1901,011146;2052,049081;2032,016681;1986,546314;1900,852159;1966,036952;2043,940729;2144;2279;2433;4058,452;4013,486;3303,631;3840,539;6101,017;6785,419;7298,567;6820,955;7348,071;5334,441
307;Oreamuno;nd;842,06409;970,67082;1218,66402;1600,35099;1906,0503;1760,59275;1643,7498;2128;2678;2800;5326;8223,77708;9134,456334;9031,273577;9151,467975;8656,54051;8701,056954;7927,58374;7449;7341;7248;5052,171;5196,606;0;7097,345;5773,744;9319,02;13015,016;8966,677;8485,913;6625,742
308;El Guarco;nd;418,25007;435,25986;537,47757;599,95278;638,58249;510,92958;755,58441;793;902;1019;1173;1107,346545;1203,533861;1241,690813;1325,47712;5834,515935;7037,890809;7693,23646;7325;7880;7682;10193,559;12151,316;8001,643;11026,457;12647,156;14446,405;13273,873;14552,405;15708,978;13866,777
401;Heredia;1187,34693;12960,18822;11703,05346;15937,69632;23572,23057;26767,3686;25298,32683;27041,27391;24136;28920;32452;35604;37193,012;32079,02651;34341,41579;33273,65708;30197,41181;27169,18071;27894,48077;26697;26986;30228;25178,212;23655,601;21833,842;31767,125;46307,592;45486,49;44768,667;47696,418;54207,668;41905,552
402;Barva;nd;nd;nd;nd;0;0;3566,01504;5304,03405;9473;6789;7095;5379;6671,902045;6937,251848;6642,489394;6231,348236;6200,345713;6476,983615;5800,174679;6865;7028;7286;7438,861;7688,349;0;7509,19;7372,763;8979,063;9035,349;8644,081;7295,487;5700,24
403;Santo Domingo;103,3305;1190,84427;1240,44291;1185,43929;1215,00771;2056,43592;2496,78282;2762,10375;2780;3578;9205;11145;11442,31598;11635,00859;11489,21723;11510,99849;11069,17279;10508,90154;10462,95421;10805;11160;11359;6788,411;5718,235;10696,619;10466,573;17280,584;19646,588;19801,674;19592,48;19167,755;13804,731
404;Santa Bárbara;0;622,52652;1335,98388;1559,4957;1722,28098;2280,90156;2387,7294;2574,51915;2704;3133;3467;3666;4660,07675;8732,059478;8918,869555;8927,295882;9012,83105;9338,43704;9499,332188;8600;10809;11868;2862,161;5756,108;3296,955;9174,686;7180,68;9388,925;9884,773;10046,924;10128,37;7506,087
405;San Rafael;nd;nd;nd;nd;0;1299,26181;2779,59045;2736,98649;2699;3291;3637;2926;3358,288738;4608,88284;5915,917433;5254,84824;4960,244773;5133,063968;5351,98948;5681;6312;6488;6626,975;5074,619;8062,8;8562,066;8798,533;9667,178;10024,704;10036,971;9469,838;7222,949
406;San Isidro;113,50458;1282,56996;1379,22372;1833,08307;1972,02285;2029,09308;1894,28652;1677,29247;1672;1833;1816;1177;1082,067564;1976,371126;2561,762365;2678,141069;2529,328956;2492,284915;2224,07334;3023;3550;3622;9226,294;13049,59;14392,54;9139,781;9806,623;10315,257;11318,71;11092,841;11411,153;9178,025
407;Belén;321,59631;3993,16743;4009,06443;4518,88122;5399,09811;7314,68661;7292,74875;4554,96741;5016;5695;6710;6637;6357,584152;5351,512518;5259,140897;5412,563641;5628,15042;6103,999409;12463,17343;11079;10329;8199;7535,431;9683,08;202,837;9176,152;12703,546;12963,501;12549,036;12883,216;13004,805;8638,496
408;Flores;nd;119,2275;1512,12264;1701,29694;1883,15862;2360,38656;2502,66471;2664,65514;2743;3357;3057;3254;3537,626412;3709,968646;3614,258291;3927,145297;3448,593524;3470,215797;3534,287679;3541;3369;2921;917,431;3581,779;2138,647;3441,036;4814,985;5292,522;5243,639;5480,749;5619,566;4301,332
409;San Pablo;115,41222;1178,28564;1273,3497;1670,29779;1997,93496;2103,1731;1882,84068;1951,83366;2007;1428;1484;1557;1915,796965;7295,132261;4132,079927;4498,704641;3292,150021;4418,575042;5220,030021;5577;5824;5902;0;0;0;8304,76;5176,719;5068,345;4961,408;5020,855;4706,02;3107,171
